"x","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000102879",-3902.73120665042,1295.21904787532,-20.6734500664408,7.33220910105578e-14,2.30323018386915e-11,-3.9038703061846
"ENSG00000147443",-763.135765133775,256.500996414824,-20.4580881882544,8.76662011256784e-14,2.68664833449793e-11,-3.90451194377412
"ENSG00000121966",-430.108620942549,152.644489923097,-20.0083485169198,1.28037793989691e-13,3.77259921418585e-11,-3.90591537120329
"ENSG00000188404",-2334.40089251623,737.599495060045,-19.9886543634943,1.30202540789345e-13,3.77259921418585e-11,-3.90597887345602
"ENSG00000075624",-24014.7535724134,14405.478830367,-19.9715979362849,1.32108527993774e-13,3.77259921418585e-11,-3.9060340134713
"ENSG00000116741",-359.951938037281,173.501617027664,-19.9187958181597,1.38197661553989e-13,3.85878581650193e-11,-3.90620555775496
"ENSG00000111348",-5056.42929497287,1834.57179833602,-19.7960876090406,1.53519755194722e-13,4.19342548700366e-11,-3.90660921040107
"ENSG00000093072",-654.52866813391,230.840940288453,-19.6882733690972,1.68461350221469e-13,4.50365290538885e-11,-3.90696973734293
"ENSG00000111913",-698.645898934834,222.141331413472,-18.4662286016944,4.99320535162675e-13,1.30707552589979e-10,-3.91147750292739
"ENSG00000227507",-417.504920664867,139.623693665269,-18.4108042996167,5.25348925137204e-13,1.34714474374469e-10,-3.911702006969
"ENSG00000155465",-260.787074376442,87.433494956725,-18.3551875283429,5.52908767496527e-13,1.38945973271877e-10,-3.91192919620958
"ENSG00000266094",-476.874972429105,174.507895587225,-17.9275114673865,8.23132172663787e-13,2.02797171559225e-10,-3.91374232971488
"ENSG00000271503",-3383.65395647798,1075.71387502852,-17.8183658581466,9.12365072003105e-13,2.20458983263827e-10,-3.91422455450043
"ENSG00000172183",-391.206669484334,145.828196634649,-17.7605926153168,9.63670820262659e-13,2.28462714275477e-10,-3.91448314728494
"ENSG00000147168",-372.184919881354,120.409161502843,-17.4186035988297,1.33664099751102e-12,3.11016558031963e-10,-3.91606292236588
"ENSG00000139318",-502.472231470031,204.05582463455,-17.1912179191384,1.66677219515728e-12,3.80781684220932e-10,-3.91716178867886
"ENSG00000110934",-910.468927837645,291.114402372554,-17.0052136690135,2.00049586727899e-12,4.48107140811528e-10,-3.91809101725189
"ENSG00000137161",-437.546904876733,218.456546398124,-16.9889744967412,2.0327980124359e-12,4.48107140811528e-10,-3.91817347934563
"ENSG00000089327",-648.628288559776,280.995977009933,-16.8819182139862,2.25997626493178e-12,4.89596582221859e-10,-3.91872259358639
"ENSG00000106066",-648.03641399881,315.288775841513,-16.8000163192299,2.45176245222284e-12,5.22142291731864e-10,-3.91914921109371
