"hgnc_symbol","HGNC","Ensembl_ID","HC_1_SKIN","HC_2_SKIN","HC_3_SKIN","HC_4_SKIN","HC_5_SKIN","A_1_SKIN","A_2_SKIN","A_3_SKIN","A_4_SKIN","A_5_SKIN","A_6_SKIN","A_2_PBMC","A_3_PBMC","A_4_PBMC","A_5_PBMC","A_6_PBMC"
"TSPAN6","TSPAN6","ENSG00000000003",170.013102676213,0.203600041125208,8.11119267966005,11.6736930376142,0,0.227866434139177,34.9621218708524,25.1297053953303,86.2886956243563,54.4554137352197,101.718500835315,0.0734268726031729,0.0582990229625279,0,0,0.0352080996813338
"DPM1","DPM1","ENSG00000000419",28.4645404830927,46.0136092942971,63.0870541751337,38.6961306246843,38.9376251059984,39.4588708451008,35.4361845402877,36.3808067385479,0.719995534734681,10.2344371551355,46.5400645691536,41.3026158392848,17.3731088428333,30.974948540675,37.3624432404237,58.9735669662342
"SCYL3","SCYL3","ENSG00000000457",0.119098495745158,13.641202755389,29.9212885516349,13.367099126404,0.118712271664629,0,29.9548349249422,31.6647762354028,0.775379806637348,0.897757645187325,9.97765413065307,12.9231295781584,28.4790727171949,0,123.374484613243,1.76040498406669
"C1orf112","C1orf112","ENSG00000000460",0.0595492478725789,0,0.180248726214668,0,0,5.77261633152582,12.0293402369204,0,0.0553842719026677,3.30887817797614,0,0,31.0733792390273,0,2.85679850863809,23.5894267864937
"FGR","FGR","ENSG00000000938",3.15611013724668,38.6840078137896,1.80248726214668,1.65737617200696,1.10798120220321,0.721577041440728,0.681465087313224,50.7983857053057,0.609226990929345,0.641255460848089,31.9418860424263,1120.56750279702,985.515833670052,1323.64395484898,1561.46444759885,695.254344407299
"CFH","CFH","ENSG00000000971",98.2562589897552,90.3305515792174,84.0860307791425,56.7110890160643,0.276995300550802,182.976746613759,53.30242139463,94.9943287062083,241.364656951826,292.309889272993,153.414802774001,0.0367134363015865,0.320644626293903,0.201922741464635,5.12543261843893,0.0704161993626677
"FUCA2","FUCA2","ENSG00000001036",6.4908680181111,69.0882806218207,42.4485750235543,35.6335876981497,11.3172365653613,57.8400965323278,37.5990954695862,86.7749612578698,256.263026093644,18.5964083645946,58.3927141069092,137.344965204235,169.650156820956,169.049719154193,58.2842911419203,143.930711497293
"GCLC","GCLC","ENSG00000001084",2.02467442766768,0.0678666803750694,37.3114863264362,20.8613218172181,9.25955718984109,21.7232667212682,1.71847717670291,1.41480915094353,0.830764078540016,14.6975751626382,13.2588960930826,24.2675813953487,0,0.605768224393905,0,1.54915638597869
"NFYA","NFYA","ENSG00000001167",0.0595492478725789,50.3570768383015,6.66920286994271,0.0720598335655201,0,0,0.325918085236759,0,0,0,0,62.0457073496811,0,15.9518965757062,19.1293468764688,0.0352080996813338
"STPG1","STPG1","ENSG00000001460",28.8218359703282,12.2160024675125,14.5100224602808,13.6913683774488,35.6532522566104,0.721577041440728,57.5689854195476,0,19.6060322535444,19.5198162282158,38.5713340889676,0,8.71570393289791,0,9.63469300952455,48.2703046631087
"NIPAL3","NIPAL3","ENSG00000001461",52.2842396321243,163.422966343167,107.608489550157,48.2440585721157,5.57947676823758,27.0781279235389,114.308361167583,120.595637151853,0.166152815708003,82.5167527019321,77.0757040562529,74.7852697463316,63.9540281898931,127.615172605649,87.8045423978472,100.167043593395
"LAS1L","LAS1L","ENSG00000001497",63.6581459757868,95.2848192465975,85.2576474995379,300.38141621787,0.316566057772345,85.8676679314466,105.271541531473,114.936400548079,110.768543805335,40.6299459993349,163.727277513065,79.7415836470458,92.1999048152378,109.159434035782,205.185351708654,120.482117109524
"ENPP4","ENPP4","ENSG00000001561",0.0595492478725789,0.814400164500833,7.30007341169405,0.03602991678276,0,7.02588171929129,12.2367426547983,0,3.21228777035473,5.92520045823634,0.0669641216822354,16.6679000809203,31.0442297275461,22.8980388820896,26.3273588050961,17.8857146381176
"SEMA3F","SEMA3F","ENSG00000001617",1.54828044468705,0.135733360750139,24.1533293127655,8.32291077681757,24.4547279629137,2.16473112432218,29.865948174423,6.66981456873378,0,32.5244769742151,0.87053358186906,0.0367134363015865,0.0582990229625279,0,0,0
"CFTR","CFTR","ENSG00000001626",0,24.2284048938998,31.9941489031035,0,0,5.84857180957221,1.80736392722203,0,18.996805262615,2.7189231539959,0,0.0367134363015865,0.0582990229625279,0.040384548292927,0,0
"ANKIB1","ANKIB1","ENSG00000001629",0.119098495745158,6.31160127488146,21.0891009671161,113.782477199956,43.2508376431466,0.0379777390231962,20.3846947857173,39.3451687690962,0,2.77022359086375,37.7677646287807,7.96681567744426,8.01611565734758,1.33269009366659,0.168046971096358,0.0704161993626677
"CYP51A1","CYP51A1","ENSG00000001630",9.34923191599489,8.89053512913409,7.66057086412338,7.53025260759685,14.720321686414,25.6729515796806,6.0442990352999,7.20878948337893,0.166152815708003,9.87533409706057,11.0490800775688,0,1.57407361998825,2.58461109074733,5.06941696140681,0
"KRIT1","KRIT1","ENSG00000001631",5.71672779576757,31.6258730547823,34.7880041594309,57.8280164363298,46.1790736775408,0.0379777390231962,17.4514320185865,28.9025297978464,35.2243969300967,12.4660061588869,2.47767250224271,8.88465158498392,0.116598045925056,4.80576124685832,62.9615985041023,0.140832398725335
"RAD52","RAD52","ENSG00000002016",7.02681124896431,0.0678666803750694,1.35186544661001,1.40516675452764,24.9295770495722,16.4063832580208,1.42218800830586,8.96045795597568,7.19995534734681,3.87318298352246,13.1249678497181,5.61715575414273,20.5212560828098,0.040384548292927,56.6878449165049,24.152756381395
